float_id,date,latitude,longitude,depth,pressure,temperature,salinity,basin
6902899,2021-01-25T11:34:00,41.9907,6.4262,83.6,85.7,13.297,38.33,Western Mediterranean
6902876,2021-01-26T02:11:30,37.4606,2.0968,328.3,336.5,13.729,38.609,Western Mediterranean
6902937,2021-01-26T02:15:30,41.4306,5.0642,209.1,214.3,13.383,38.537,Western Mediterranean
6902937,2021-01-26T02:15:30,41.4306,5.0642,,89.0,,38.509,Western Mediterranean
6903291,2021-01-26T02:55:59,36.1155,24.0232,326.8,335.0,15.512,39.188,Eastern Mediterranean
6902872,2021-01-26T05:05:30,36.4477,20.4153,369.5,378.7,15.461,39.147,Eastern Mediterranean
3901855,2021-01-26T12:09:30,42.3026,30.8261,385.9,395.5,8.886,22.044,Eastern Mediterranean
6902846,2021-01-26T22:54:30,34.6347,27.8083,262.6,269.2,14.439,38.935,Eastern Mediterranean
6903779,2021-01-27T05:54:20,40.2955,11.5918,,77.1,14.951,38.157,Tyrrhenian
6903867,2021-01-28T02:44:00,42.9353,28.9439,19.6,20.1,9.067,18.755,Eastern Mediterranean
6903867,2021-01-28T02:44:00,42.9353,28.9439,93.8,96.1,8.676,20.329,Eastern Mediterranean
6903867,2021-01-28T02:44:00,42.9353,28.9439,,175.3,8.759,21.299,Eastern Mediterranean
6904065,2021-01-28T05:55:30,39.0425,2.215,95.3,97.7,13.671,38.201,Western Mediterranean
6902944,2021-01-28T05:57:30,39.2605,10.8622,117.0,119.9,14.537,38.438,Tyrrhenian
6902904,2021-01-28T09:19:00,34.5351,26.241,230.7,236.5,15.023,39.06,Eastern Mediterranean
6902898,2021-01-28T09:33:00,34.5322,29.2185,83.4,85.5,16.384,39.228,Eastern Mediterranean
6901772,2021-01-28T10:27:00,35.9794,17.5527,197.6,202.5,15.249,38.971,Western Mediterranean
6902899,2021-01-28T11:33:00,41.9014,6.4865,113.6,116.4,13.274,38.352,Western Mediterranean
6903016,2021-01-28T11:52:30,35.6694,-3.1446,286.1,293.3,13.492,38.541,Western Mediterranean
6902804,2021-01-29T02:33:30,42.7865,5.6642,359.3,368.3,14.126,38.725,Western Mediterranean
6902804,2021-01-29T02:33:30,42.7865,5.6642,22.8,23.4,13.958,38.079,Western Mediterranean
6902767,2021-01-29T04:57:20,41.0378,9.9438,88.6,90.8,13.959,38.397,Tyrrhenian
6903787,2021-01-29T05:58:20,39.3938,13.146,298.0,305.5,14.547,38.822,Tyrrhenian
6902944,2021-01-29T05:59:30,39.2449,10.8358,487.3,499.5,14.274,38.791,Tyrrhenian
6902773,2021-01-29T06:00:30,38.1674,9.2086,313.3,321.1,14.387,38.808,Western Mediterranean
6902773,2021-01-29T06:00:30,38.1674,9.2086,177.5,181.9,14.549,38.7,Western Mediterranean
6902773,2021-01-29T06:00:30,38.1674,9.2086,199.8,204.8,14.56,38.737,Western Mediterranean
6903245,2021-01-29T06:02:30,33.4208,29.6068,85.6,87.7,16.924,39.062,Eastern Mediterranean
6902845,2021-01-29T22:46:30,33.1709,28.1897,21.4,21.9,,38.954,Eastern Mediterranean
6902845,2021-01-29T22:46:30,33.1709,28.1897,391.3,401.1,,38.974,Eastern Mediterranean
6902845,2021-01-29T22:46:30,33.1709,28.1897,171.2,175.5,16.114,39.167,Eastern Mediterranean
6902845,2021-01-29T22:46:30,33.1709,28.1897,270.0,276.8,15.339,39.096,Eastern Mediterranean
6902913,2021-01-29T22:47:30,32.3517,25.2207,12.8,13.1,17.215,,Eastern Mediterranean
6902913,2021-01-29T22:47:30,32.3517,25.2207,222.0,227.6,15.505,39.126,Eastern Mediterranean
6902718,2021-01-29T22:58:30,33.3839,26.1629,,338.7,,38.995,Eastern Mediterranean
6902718,2021-01-29T22:58:30,33.3839,26.1629,,275.8,15.119,39.079,Eastern Mediterranean
6902965,2021-01-30T02:12:30,42.921,5.783,52.8,54.1,13.941,38.09,Western Mediterranean
6902965,2021-01-30T02:12:30,42.921,5.783,370.6,379.9,14.058,38.695,Western Mediterranean
6901278,2021-01-30T04:49:20,40.0607,5.3206,189.4,194.1,14.049,38.47,Western Mediterranean
6902873,2021-01-30T05:28:30,33.4936,23.0447,,178.4,15.636,39.064,Eastern Mediterranean
6901281,2021-01-30T05:58:30,39.2944,0.9623,91.2,93.5,,38.284,Western Mediterranean
